Listing,Lat,Lon,Address,City,Type,List_Price,Sold_Price,Bedroom,Bathroom,Garage,Tax,Maintenance,Age,Size,Lot_Size,Days,List_Date
E4701646,43.67394,-79.32214,333 Ashdale Ave,Toronto,Semi-Detached,649000,978601,3+1 Bedroom,3 Bathroom,0 Garage,3268,,-,1750 feet²,19.32 x 123.83 feet,7,2020-02-25
C4674893,43.6504,-79.39213,Unit 25 - 15 Beverley St,Toronto,Condo Apt,779000,765000,1+1 Bedroom,1 Bathroom,1 Garage,3388,$869/month,0-5,700-799 feet²,,18,2020-01-23
W4742183,43.66966,-79.75259,34 Alderway Ave,Brampton,Detached,759900,750000,4 Bedroom,2 Bathroom,1 Garage,4590,,-,1750 feet²,51 x 100.00 feet,21,2020-04-14
E4713387,43.67301,-79.30028,78 Wheeler Ave,Toronto,Detached,1649000,1750000,3+1 Bedroom,4 Bathroom,1 Garage,6821,,100+,2000-2500 feet²,24.83 x 102.00 feet,3,2020-03-06
W4770640,43.677,-79.44175,118 Westmount Ave,Toronto,Detached,1889000,1889000,5+1 Bedroom,3 Bathroom,3 Garage,6946,,-,2250 feet²,30 x 113.00 feet,8,2020-05-26
C4670445,43.65897,-79.36288,Unit 1209 - 200 Sackville St,Toronto,Condo Apt,629000,615000,1+1 Bedroom,2 Bathroom,1 Garage,2103,$420/month,0-5,600-699 feet²,,12,2020-01-16
C4684994,43.70745,-79.38171,545 Soudan Ave,Toronto,Detached,2490000,2490000,4 Bedroom,4 Bathroom,1 Garage,8865,,-,2250 feet²,25 x 145.00 feet,6,2020-02-05
C4734847,43.77085,-79.4119599,Unit 1209 - 238 Doris Ave,North York,Condo Apt,789000,750000,2 Bedroom,2 Bathroom,1 Garage,2890,$645/month,-,1000-1199 feet²,,15,2020-03-31
C4685959,43.6429,-79.3806,Unit F45 - 65 Bremner Blvd,Toronto,Parking Space,60000,55000,Bedroom,0 Bathroom,Garage,0,$110/month,-,- feet²,,34,2020-02-06
W4756249,43.63585,-79.51081,41 Norseman St,Etobicoke,Detached,1175000,1200000,3+3 Bedroom,3 Bathroom,1 Garage,4788,,-,2250 feet²,45 x 118.00 feet,4,2020-05-07
W4693140,43.74095,-79.60077,43 Elmvale Cres,Etobicoke,Detached,800000,865000,3+3 Bedroom,3 Bathroom,0 Garage,2686,,-,1300 feet²,46 x 120.00 feet,12,2020-02-12
N4686635,43.85104,-79.50448,29 Leith Crt,Vaughan,Detached,1198000,1175000,4+1 Bedroom,4 Bathroom,2 Garage,5189,,-,2750 feet²,50.52 x 124.61 feet,3,2020-02-07
N4729387,43.77757,-79.61247,36 Agincourt Rd,Vaughan,Freehold Townhouse,729000,710000,3 Bedroom,3 Bathroom,1 Garage,3025,,-,1500-2000 feet²,20 x 105.00 feet,5,2020-03-23
C4677464,43.6632,-79.37777,Unit 809 - 281 Mutual St,Toronto,Condo Apt,570000,585000,1 Bedroom,1 Bathroom,0 Garage,2203,$478/month,16-30,500-599 feet²,,5,2020-01-28
N4691142,43.83618,-79.26973,10 James Edward Dr,Markham,Link,1059000,1020000,4+2 Bedroom,4 Bathroom,2 Garage,4316,,-,- feet²,28.77 x 128.00 feet,10,2020-02-10
W4756140,43.71105,-79.78929,164 Dumfries Ave,Brampton,Detached,849900,835000,3+1 Bedroom,4 Bathroom,2 Garage,4402,,-,1750 feet²,27.72 x 142.90 feet,8,2020-05-07
W4684219,43.63571,-79.49659,210 Berry Rd,Etobicoke,Detached,1099000,1050000,3 Bedroom,2 Bathroom,1 Garage,4093,,51-99,1100-1500 feet²,55 x 110.50 feet,21,2020-02-05
W4709566,43.51869,-79.67298,2658 Altadena Crt,Mississauga,Semi-Detached,799000,865000,3+1 Bedroom,3 Bathroom,0 Garage,3573,,31-50,1100-1500 feet²,23.34 x 124.11 feet,3,2020-03-04
E4702721,43.8522019,-79.0811581,2061 Duberry Dr,Pickering,Detached,779900,788000,3+1 Bedroom,4 Bathroom,2 Garage,4693,,-,1750 feet²,34.45 x 100.07 feet,7,2020-02-26
C4704425,43.6611,-79.38193,Unit 3101 - 21 Carlton St,Toronto,Condo Apt,768000,777500,2 Bedroom,2 Bathroom,1 Garage,2718,$544/month,-,600-699 feet²,,13,2020-02-28
N4707255,43.85666,-79.53504,68 Carron Ave,Vaughan,Freehold Townhouse,769000,815000,3 Bedroom,3 Bathroom,1 Garage,3600,,-,1750 feet²,27.77 x 98.43 feet,9,2020-03-02
W4675577,43.68031,-79.75796,70 Mill St S,Brampton,Detached,679000,685000,3+1 Bedroom,1 Bathroom,0 Garage,4201,,51-99,1100-1500 feet²,40.05 x 104.39 feet,6,2020-01-24
W4742612,43.68678,-79.83027,84 Leagate St,Brampton,Detached,889900,867000,4 Bedroom,3 Bathroom,2 Garage,4724,,16-30,1500-2000 feet²,58.53 x 85.30 feet,13,2020-04-14
W4670002,43.63151,-79.47452,Unit 806 - 2045 Lake Shore Blvd W,Etobicoke,Condo Apt,1135000,1080500,2 Bedroom,2 Bathroom,1 Garage,3194,$1478/month,-,1400-1599 feet²,,29,2020-01-16
W4615418,43.5663,-79.64184,Unit 6A - 830 Westlock Rd,Mississauga,Condo Townhouse,528000,515000,3+1 Bedroom,2 Bathroom,1 Garage,2415,$448/month,-,1400-1599 feet²,,97,2019-10-23
W4654939,43.75223,-79.7569,25 Shady Pine Circ,Brampton,Freehold Townhouse,619000,630500,3 Bedroom,2 Bathroom,1 Garage,3832,,-,1300 feet²,22.18 x 103.35 feet,9,2019-12-18
N4713840,43.89932,-79.36924,16 Campus Clse,Markham,Detached,999000,1310000,4 Bedroom,3 Bathroom,1 Garage,6416,,-,2500-3000 feet²,38.06 x 118.48 feet,1,2020-03-08
C4662864,43.76038,-79.41139,Unit 3104 - 9 Bogert Ave,North York,Condo Apt,575000,571000,1+1 Bedroom,1 Bathroom,0 Garage,2375,$445/month,-,500-599 feet²,,6,2020-01-08
C4730073,43.72528,-79.41003,116 Douglas Ave,Toronto,Semi-Detached,1199000,1250000,3 Bedroom,2 Bathroom,0 Garage,5630,,-,1100-1500 feet²,16.83 x 109.17 feet,7,2020-03-24
E4690449,43.8405638,-79.0167018,Unit 204 - 66 Falby Crt,Ajax,Condo Apt,409000,403000,2 Bedroom,2 Bathroom,1 Garage,2306,$738/month,31-50,1000-1199 feet²,,18,2020-02-12
W4708012,43.75588,-79.73752,111 Quail Feather Cres,Brampton,Detached,849900,899000,4+2 Bedroom,5 Bathroom,1 Garage,4268,,16-30,1500-2000 feet²,24.11 x 99.18 feet,5,2020-03-03
W4709718,43.6408,-79.74118,100 Cedar Lake Cres,Brampton,Condo Townhouse,679900,680000,3 Bedroom,3 Bathroom,1 Garage,4058,$277/month,6-10,1800-1999 feet²,,2,2020-03-03
C4715249,43.65121,-79.36707,Unit 1109 - 138 Princess St,Toronto,Condo Apt,799900,836000,1+1 Bedroom,2 Bathroom,1 Garage,3443,$583/month,-,800-899 feet²,,3,2020-03-09
E4758011,43.68682,-79.26695,9 Valhalla Blvd,Scarborough,Detached,969000,960000,2+1 Bedroom,2 Bathroom,1 Garage,4076,,-,900 feet²,30 x 130.00 feet,1,2020-05-09
W4720152,43.68872,-79.85097,30 Rangemore Rd,Brampton,Freehold Townhouse,700000,737000,3 Bedroom,3 Bathroom,1 Garage,5083,,0-5,1500-2000 feet²,20.01 x 90.22 feet,1,2020-03-13
W4712718,43.51122,-79.64479,1308 Canvey Cres,Mississauga,Detached,849900,890000,3+1 Bedroom,2 Bathroom,2 Garage,4800,,-,1300 feet²,50 x 125.00 feet,7,2020-03-06
N4697936,43.9471,-79.44839,64 Canoe Crt,Richmond Hill,Detached,1099000,1208000,4 Bedroom,3 Bathroom,2 Garage,6330,,-,3000-3500 feet²,46.26 x 109.91 feet,8,2020-02-20
W4657673,43.7004704,-79.8473588,(Address not available),Brampton,Freehold Townhouse,699900,715000,3 Bedroom,3 Bathroom,1 Garage,4261,,0-5,1500-2000 feet²,21.98 x 88.58 feet,3,2019-12-27
C4743304,43.64751,-79.39273,Unit 3803 - 101 Peter St,Toronto,Condo Apt,658888,650000,1+1 Bedroom,1 Bathroom,0 Garage,2583,$445/month,-,600-699 feet²,,7,2020-04-15
N4703177,43.80212,-79.42067,Unit 2730 - 7161 Yonge St,Markham,Condo Apt,528000,585000,1+1 Bedroom,1 Bathroom,1 Garage,2232,$411/month,-,600-699 feet²,,15,2020-02-26
W4694366,43.57386,-79.5736,Unit 35 - 650 Atwater Ave,Mississauga,Condo Townhouse,659900,655000,2 Bedroom,2 Bathroom,1 Garage,0,$265/month,-,1000-1199 feet²,,27,2020-02-18
C4722239,43.64098,-79.41428,Unit 109 - 1 Shaw St,Toronto,Condo Apt,599000,680000,1 Bedroom,1 Bathroom,1 Garage,2407,$467/month,-,700-799 feet²,,7,2020-03-16
C4691908,43.65936,-79.3824999,Unit 5104 - 386 Yonge St,Toronto,Condo Apt,935000,916000,2 Bedroom,2 Bathroom,1 Garage,4055,$613/month,0-5,800-899 feet²,,25,2020-02-13
N4679857,43.78483,-79.5939,Unit 501 - 160 Woodbridge Ave,Vaughan,Condo Apt,534900,521000,1+1 Bedroom,1 Bathroom,1 Garage,2174,$428/month,11-15,700-799 feet²,,9,2020-01-30
W4712934,43.65126,-79.81305,8 Frost St,Brampton,Detached,1249000,1190000,4 Bedroom,4 Bathroom,2 Garage,7176,,0-5,2500-3000 feet²,38.06 x 105.00 feet,10,2020-03-06
W4668324,43.70841,-79.81276,63 Winners Circ,Brampton,Detached,874000,901000,4+2 Bedroom,6 Bathroom,2 Garage,5494,,-,2750 feet²,61.6 x 98.43 feet,0,2020-01-15
N4701003,43.79426,-79.4399,Unit 611 - 5 Emerald Lane,Vaughan,Condo Apt,549000,555000,2 Bedroom,2 Bathroom,1 Garage,2324,$647/month,16-30,900-999 feet²,,7,2020-02-25
E4726185,43.83917,-79.08752,Unit 10 - 1360 Glenanna Rd,Pickering,Condo Townhouse,499000,525000,3 Bedroom,3 Bathroom,1 Garage,2387,$423/month,-,1200-1399 feet²,,4,2020-03-19
C4686569,43.74447,-79.37012,1 Pearwood Cres,North York,Detached,2649000,2560000,4+1 Bedroom,5 Bathroom,2 Garage,12045,,-,3000-3500 feet²,58.06 x 110.00 feet,7,2020-02-07
E4720508,43.87203,-79.07288,79 Stockell Cres,Ajax,Detached,998800,1012000,4 Bedroom,5 Bathroom,2 Garage,7453,,0-5,2500-3000 feet²,37.96 x 104.63 feet,2,2020-03-13
E4725377,43.67571,-79.34528,8 Strathcona Ave,Toronto,Semi-Detached,999900,1380000,3 Bedroom,2 Bathroom,0 Garage,5707,,-,1300 feet²,18.92 x 97.00 feet,0,2020-03-18
C4666330,43.64591,-79.36481,Unit 619 - 12 Bonnycastle St,Toronto,Condo Apt,899000,902000,2+1 Bedroom,2 Bathroom,1 Garage,3173,$611/month,-,800-899 feet²,,12,2020-01-13
N4622119,43.9891734,-79.784586,11 Tamarack Crt,New Tecumseth,Detached,295000,295000,2 Bedroom,2 Bathroom,1 Garage,1708,,-,- feet²,,95,2019-10-31
W4704755,43.63808,-79.58395,Unit C26 - 300 Mill Rd,Etobicoke,Condo Apt,625000,616500,2 Bedroom,2 Bathroom,1 Garage,2206,$990/month,31-50,1000-1199 feet²,,14,2020-02-27
W4659748,43.6590433,-79.907805,40 Maple Ave,Halton Hills,Condo Townhouse,539900,535000,3 Bedroom,4 Bathroom,1 Garage,2518,$312/month,-,1200-1399 feet²,,25,2020-01-03
W4747085,43.5364516,-79.8575739,Unit 416 - 1460 Main St E,Milton,Condo Apt,539900,537500,2 Bedroom,2 Bathroom,1 Garage,1910,$398/month,6-10,1000-1199 feet²,,8,2020-04-22
C4678367,43.6528733,-79.356362,Unit S805 - 455 Front St E,Toronto,Condo Apt,559000,570000,1 Bedroom,1 Bathroom,0 Garage,1940,$376/month,-,500-599 feet²,,2,2020-01-29
N4746061,43.97664,-79.24706,32 Fairgate Cres,Whitchurch-Stouffville,Detached,1100000,1090000,3+2 Bedroom,3 Bathroom,2 Garage,5247,,16-30,2000-2500 feet²,62.4 x 104.14 feet,4,2020-04-20
W4659502,43.70832,-79.72344,25 Carleton Pl,Brampton,Condo Townhouse,549900,558000,3+1 Bedroom,3 Bathroom,1 Garage,2450,$424/month,-,1200-1399 feet²,,3,2020-01-03
W4662032,43.72929,-79.71124,79 Forsythia Rd,Brampton,Semi-Detached,599900,663500,4 Bedroom,2 Bathroom,0 Garage,3476,,-,1750 feet²,30.23 x 112.09 feet,8,2020-01-07
W4774691,43.54371,-79.69754,4111 Barbican Dr,Mississauga,Semi-Detached,750000,825000,3 Bedroom,3 Bathroom,1 Garage,3977,,-,1750 feet²,36.45 x 120.26 feet,6,2020-05-29
W4712981,43.6255585,-79.4783351,Unit 613 - 59 Annie Craig Dr,Etobicoke,Condo Apt,508888,630000,1+1 Bedroom,1 Bathroom,1 Garage,2330,$428/month,6-10,600-699 feet²,,8,2020-03-06
W4731309,43.62729,-79.49344,23 Beaverdale Rd,Etobicoke,Freehold Townhouse,1129800,1090000,2 Bedroom,3 Bathroom,2 Garage,5017,$120/month,-,2000-2500 feet²,20.35 x 102.58 feet,11,2020-03-25
C4733214,43.69669,-79.39224,Unit 1006 - 119 Merton St W,Toronto,Condo Apt,828000,792000,1+1 Bedroom,2 Bathroom,1 Garage,2648,$638/month,-,800-899 feet²,,6,2020-03-27
C4671384,43.65424,-79.41253,11 Henderson Ave,Toronto,Semi-Detached,1789000,1690000,3+1 Bedroom,4 Bathroom,1 Garage,4491,,-,2250 feet²,14.24 x 90.00 feet,1,2020-01-19
E4645725,43.88492,-79.05332,70 Atherton Ave,Ajax,Semi-Detached,599000,650000,3+1 Bedroom,3 Bathroom,1 Garage,4648,,-,1750 feet²,22.51 x 130.00 feet,10,2019-12-02
W4669603,43.66928,-79.77353,91 Mccleave Cres,Brampton,Freehold Townhouse,699000,688000,3+1 Bedroom,4 Bathroom,1 Garage,3805,,-,1750 feet²,18.34 x 82.02 feet,8,2020-01-16
E4736337,43.70267,-79.24699,10 Bluewater Ave,Scarborough,Detached,1999900,1910000,4+1 Bedroom,5 Bathroom,2 Garage,4072,,0-5,3500-5000 feet²,40 x 120.00 feet,53,2020-04-02
E4669723,43.88467,-79.01099,4 Mansbridge Cres,Ajax,Detached,699900,730000,4 Bedroom,3 Bathroom,1 Garage,5400,,6-15,1500-2000 feet²,34.12 x 90.09 feet,9,2020-01-16
W4739652,43.62285,-79.71452,6685 Nimbus Gate,Mississauga,Detached,989000,978000,4 Bedroom,4 Bathroom,2 Garage,5100,,-,2250 feet²,31.99 x 104.99 feet,10,2020-04-08
C4654955,43.7748,-79.3368799,Unit 1612 - 275 Yorkland Rd,North York,Condo Apt,469900,480000,1 Bedroom,1 Bathroom,1 Garage,1665,$396/month,-,500-599 feet²,,0,2019-12-18
C4697186,43.74621,-79.36924,165 Banbury Rd,North York,Detached,2298800,2100000,5 Bedroom,4 Bathroom,2 Garage,8528,,-,2750 feet²,62.19 x 119.54 feet,10,2020-02-18
W4647888,43.60763,-79.58673,Unit 1108 - 3025 Queen Frederica Dr,Mississauga,Condo Apt,499000,472000,3 Bedroom,2 Bathroom,1 Garage,1688,$497/month,-,1000-1199 feet²,,87,2019-12-04
W4778470,43.521,-79.85669,364 Black Dr,Milton,Freehold Townhouse,799000,795000,3+2 Bedroom,4 Bathroom,1 Garage,3200,,6-15,1500-2000 feet²,26.9 x 100.07 feet,3,2020-06-02
W4653196,43.78144,-79.74033,29 Banks Dr,Brampton,Detached,949000,945000,4+2 Bedroom,4 Bathroom,2 Garage,5980,,-,2750 feet²,42.24 x 82.12 feet,27,2019-12-13
C4651249,43.6899,-79.43734,201 Cedric Ave,Toronto,Detached,749900,968000,4 Bedroom,2 Bathroom,2 Garage,4543,,-,1500-2000 feet²,25 x 106.22 feet,1,2019-12-10
W4704672,43.72362,-79.5851,18 Guiness Ave,Etobicoke,Detached,849900,835000,4+2 Bedroom,2 Bathroom,0 Garage,2924,,-,1750 feet²,45 x 122.00 feet,14,2020-02-28
W4690046,43.60281,-79.63583,226 Ashridge Pl,Mississauga,Semi-Detached,885000,885000,3 Bedroom,4 Bathroom,1 Garage,3180,,-,1500-2000 feet²,14.75 x 95.00 feet,0,2020-02-12
C4663806,43.6391738,-79.3997972,Unit 720 - 169 Fort York Blvd,Toronto,Condo Apt,560000,525000,1 Bedroom,1 Bathroom,1 Garage,1512,$353/month,-,0-499 feet²,,0,2020-01-09
E4661299,43.692,-79.28989,6 Sutherland Ave,Toronto,Detached,688000,830000,3+1 Bedroom,2 Bathroom,0 Garage,3305,,-,1300 feet²,25 x 115.00 feet,4,2020-01-06
E4741421,43.7958,-79.32513,Unit 504 - 55 Huntingdale Blvd,Scarborough,Condo Apt,499000,496000,3 Bedroom,2 Bathroom,1 Garage,1649,$983/month,-,1400-1599 feet²,,10,2020-04-13
W4726475,43.54166,-79.59969,Unit 148 - 1055 Shawnmarr Rd,Mississauga,Condo Townhouse,689000,690000,3+1 Bedroom,2 Bathroom,2 Garage,2946,$445/month,-,1200-1399 feet²,,8,2020-03-19
N4750714,43.90122,-79.23991,32 Pike Lane,Markham,Semi-Detached,838800,828000,3 Bedroom,3 Bathroom,2 Garage,3883,,6-15,1500-2000 feet²,23.62 x 101.71 feet,9,2020-04-29
N4750212,43.84284,-79.4262,Unit 1111 - 55 Oneida Cres,Richmond Hill,Condo Apt,499000,521000,1+1 Bedroom,1 Bathroom,1 Garage,2232,$618/month,0-5,600-699 feet²,,4,2020-04-29
W4709567,43.58278,-79.77629,Unit 24 - 6950 Tenth Line,Mississauga,Condo Townhouse,649900,730000,3+1 Bedroom,3 Bathroom,1 Garage,2874,$363/month,-,1400-1599 feet²,,7,2020-03-04
W4731386,43.74723,-79.73178,94 Provincial Pl E,Brampton,Freehold Townhouse,674900,674900,3 Bedroom,3 Bathroom,1 Garage,3779,,16-30,1750 feet²,18.7 x 98.92 feet,21,2020-03-25
W4700847,43.51526,-79.84621,1036 Yates Dr,Milton,Detached,849900,835000,3+1 Bedroom,4 Bathroom,1 Garage,3730,,-,1750 feet²,36.09 x 80.38 feet,18,2020-02-24
C4639213,43.6488228,-79.3927501,Unit 2207 - 330 Richmond St W,Toronto,Condo Apt,596950,575000,1 Bedroom,1 Bathroom,0 Garage,0,$300/month,New,0-499 feet²,,80,2019-11-16
C4673765,43.70983,-79.39639,Unit 1304 - 25 Broadway Ave,Toronto,Condo Apt,778000,756000,2 Bedroom,2 Bathroom,1 Garage,3456,$653/month,-,800-899 feet²,,12,2020-01-22
W4700741,43.63717,-79.44125,9 Wilson Park Rd,Toronto,Semi-Detached,1100000,1115000,4+1 Bedroom,3 Bathroom,1 Garage,5906,,-,2250 feet²,20 x 125.00 feet,21,2020-02-24
C4724488,43.64098,-79.41428,Unit 505 - 1 Shaw St,Toronto,Condo Apt,599990,599999,1+1 Bedroom,1 Bathroom,1 Garage,2300,$443/month,-,600-699 feet²,,3,2020-03-17
E4671474,43.68563,-79.28885,489 Scarborough Rd,Toronto,Semi-Detached,729900,800000,2 Bedroom,1 Bathroom,0 Garage,2888,,-,900 feet²,13.52 x 100.25 feet,7,2020-01-20
W4644266,43.50987,-79.6413,Unit 127 - 2315 Bromsgrove Rd,Mississauga,Condo Townhouse,560000,558000,3 Bedroom,2 Bathroom,1 Garage,2571,$390/month,-,1400-1599 feet²,,26,2019-11-27
W4713435,43.65417,-79.9292,17 Temple Rd,Halton Hills,Detached,639900,650000,3+1 Bedroom,2 Bathroom,0 Garage,3565,,51-99,1100-1500 feet²,57.51 x 132.00 feet,1,2020-03-07
E4701352,43.887249,-79.0260063,1417 Salem Rd,Ajax,Freehold Townhouse,569000,605000,2+1 Bedroom,3 Bathroom,1 Garage,3970,$140/month,0-5,1750 feet²,15.94 x 81.76 feet,6,2020-02-25
W4705900,43.58394,-79.76325,Unit 507 - 2929 Aquitaine Ave,Mississauga,Condo Apt,385700,385000,2 Bedroom,2 Bathroom,2 Garage,1479,$886/month,31-50,900-999 feet²,,10,2020-03-01
W4642933,43.759678,-79.7621613,37 Cedarbrook Rd,Brampton,Freehold Townhouse,669900,655000,3 Bedroom,3 Bathroom,1 Garage,4020,,-,1750 feet²,20 x 92.00 feet,16,2019-11-27
W4727564,43.53446,-79.68816,2521 Windjammer Rd,Mississauga,Detached,879900,875000,4 Bedroom,2 Bathroom,1 Garage,4837,,-,1750 feet²,51.38 x 152.11 feet,7,2020-03-20
E4703576,43.77859,-79.28117,Unit 1210 - 151 Village Green Sq,Scarborough,Condo Apt,449000,509000,1 Bedroom,1 Bathroom,1 Garage,1514,$379/month,6-10,500-599 feet²,,3,2020-02-27
W4656597,43.7561611,-79.8360925,76/53 Dotchson Ave,Caledon,Detached,1065000,1058000,5 Bedroom,4 Bathroom,2 Garage,0,,New,2500-3000 feet²,38 x 103.25 feet,10,2019-12-19
N4750409,43.9581,-79.24266,19 A.V Nolan Dr,Whitchurch-Stouffville,Detached,969000,940000,4 Bedroom,3 Bathroom,2 Garage,5044,,6-15,2000-2500 feet²,36.09 x 101.71 feet,19,2020-04-29
W4674900,43.62198,-79.60943,4161 Pascal Crt E,Mississauga,Detached,1328800,1350500,4+1 Bedroom,4 Bathroom,2 Garage,5835,,-,2500-3000 feet²,31.24 x 136.53 feet,8,2020-01-23
W4647832,43.60036,-79.62329,Unit 27 - 1180 Mississauga Valley Blvd,Mississauga,Condo Townhouse,669900,650000,3 Bedroom,3 Bathroom,1 Garage,2806,$409/month,-,1400-1599 feet²,,38,2019-12-03
N4670844,43.99739,-79.68645,Unit 515 - 149 Church St,King,Condo Apt,474900,472900,2 Bedroom,2 Bathroom,1 Garage,2948,$573/month,0-5,900-999 feet²,,41,2020-01-17
W4707706,43.62361,-79.51649,Unit 812 - 1040 The Queensway,Etobicoke,Condo Apt,449000,535000,1+1 Bedroom,1 Bathroom,1 Garage,1773,$570/month,-,600-699 feet²,,1,2020-03-03
C4643490,43.76673,-79.38566,Unit 127 - 7 Kenaston Gdns,North York,Condo Apt,499900,495000,1 Bedroom,1 Bathroom,0 Garage,1955,$338/month,0-5,500-599 feet²,,27,2019-11-26
W4687927,43.64035,-79.73167,7453 Magistrate Terr,Mississauga,Freehold Townhouse,749900,750000,3 Bedroom,4 Bathroom,2 Garage,3831,,16-30,1100-1500 feet²,22.51 x 104.86 feet,3,2020-02-10
N4643204,43.8275179,-79.6473019,70 Ross Vennare Cres,Vaughan,Detached,1399900,1370000,4 Bedroom,4 Bathroom,2 Garage,6465,,-,3000-3500 feet²,40.03 x 101.94 feet,66,2019-11-27
N4700948,43.86084,-79.42945,29 Constellation Cres,Richmond Hill,Detached,949000,1045000,3+1 Bedroom,4 Bathroom,1 Garage,4662,,-,1750 feet²,29.53 x 109.88 feet,7,2020-02-25
W4728377,43.59345,-79.66913,Unit 1707 - 700 Constellation Dr,Mississauga,Condo Apt,539000,550000,2+1 Bedroom,2 Bathroom,2 Garage,2043,$888/month,-,1000-1199 feet²,,9,2020-03-21
N4668338,43.84382,-79.26524,96 Doubtfire Cres,Markham,Link,799999,905000,3+2 Bedroom,4 Bathroom,1 Garage,4328,,16-30,- feet²,36.45 x 111.50 feet,5,2020-01-14
W4693068,43.623561,-79.4790061,Unit 522 - 30 Shore Breeze Dr,Etobicoke,Condo Apt,748888,741000,2 Bedroom,1 Bathroom,1 Garage,0,$465/month,-,700-799 feet²,,0,2020-02-14
W4725397,43.6581483,-79.9117407,32 Whitehorn Lane,Halton Hills,Freehold Townhouse,689000,725000,3 Bedroom,3 Bathroom,1 Garage,3238,,0-5,2000-2500 feet²,17.72 x 77.72 feet,1,2020-03-18
W4647388,43.75819,-79.58847,Unit 206 - 2901 Kipling Ave,Etobicoke,Condo Apt,408000,393000,2+1 Bedroom,2 Bathroom,1 Garage,955,$711/month,-,1000-1199 feet²,,21,2019-12-03
E4720132,43.77443,-79.31417,61 Beacham Cres,Scarborough,Detached,798000,968000,3 Bedroom,2 Bathroom,1 Garage,3980,,-,1300 feet²,55 x 116.00 feet,4,2020-03-13
W4707061,43.72398,-79.64709,Unit 31 - 7560 Goreway Dr,Mississauga,Condo Townhouse,525000,551000,3+1 Bedroom,3 Bathroom,1 Garage,2028,$281/month,-,1200-1399 feet²,,3,2020-03-02
C4691270,43.79685,-79.33372,185 Apache Tr,North York,Semi-Detached,799000,845000,3+2 Bedroom,3 Bathroom,1 Garage,3515,,-,1750 feet²,30 x 150.00 feet,5,2020-02-13
N4694584,43.82231,-79.41966,25 Wild Cherry Lane,Markham,Detached,1480000,1505000,4+1 Bedroom,4 Bathroom,2 Garage,5485,,-,2750 feet²,54.99 x 109.10 feet,6,2020-02-18
W4723412,43.72315,-79.44823,Unit 1522 - 160 Flemington Rd,North York,Condo Apt,599000,640000,2 Bedroom,2 Bathroom,1 Garage,0,$449/month,-,700-799 feet²,,8,2020-03-16
W4696914,43.54918,-79.72453,5176 Oscar Peterson Blvd,Mississauga,Detached,1099888,1150000,4 Bedroom,3 Bathroom,2 Garage,5490,,-,2250 feet²,31.99 x 127.95 feet,1,2020-02-20
N4636357,43.8659,-79.29301,Unit 1101 - 610 Bullock Dr,Markham,Condo Apt,738000,725000,2+1 Bedroom,2 Bathroom,2 Garage,3469,$1004/month,16-30,1600-1799 feet²,,70,2019-11-18
W4751847,43.59555,-79.68777,1139 Foxglove Pl,Mississauga,Semi-Detached,849000,845000,3+1 Bedroom,4 Bathroom,1 Garage,3948,,-,1750 feet²,20.01 x 114.83 feet,28,2020-05-01
W4764283,43.65162,-79.7563,23 Wooliston Cres,Brampton,Freehold Townhouse,739900,763000,4+1 Bedroom,5 Bathroom,1 Garage,4100,,-,1500-2000 feet²,23 x 110.00 feet,9,2020-05-19
W4699875,43.72476,-79.74538,48 Newcastle Cres,Brampton,Detached,789000,855000,4+1 Bedroom,4 Bathroom,2 Garage,4868,,-,2250 feet²,50 x 110.00 feet,7,2020-02-24
W4741139,43.5741,-79.74919,2915 Glace Bay Rd,Mississauga,Semi-Detached,850000,825000,3+1 Bedroom,3 Bathroom,1 Garage,3575,,-,1500-2000 feet²,30 x 125.00 feet,3,2020-04-11
W4740673,43.68724,-79.85134,4 Hogan Manor Dr,Brampton,Freehold Townhouse,719999,717500,3 Bedroom,3 Bathroom,1 Garage,4975,,0-5,1500-2000 feet²,20.01 x 90.22 feet,39,2020-04-10
N4713407,43.87434,-79.30628,78 Waterbridge Lane,Markham,Detached,1198000,1168000,3+1 Bedroom,4 Bathroom,2 Garage,5976,,-,2000-2500 feet²,36.48 x 160.00 feet,84,2020-03-06
C4683996,43.64454,-79.37648,Unit 716 - 18 Yonge St,Toronto,Condo Apt,540000,575000,1 Bedroom,1 Bathroom,0 Garage,2219,$360/month,-,600-699 feet²,,2,2020-02-03
W4744606,43.74494,-79.51085,32 Arthur Griffith Dr,North York,Semi-Detached,750000,790000,3 Bedroom,2 Bathroom,1 Garage,3031,,31-50,1100-1500 feet²,30.05 x 109.90 feet,15,2020-04-17
N4645484,43.85325,-79.52518,122 Mathewson St,Vaughan,Detached,849000,980000,3+1 Bedroom,4 Bathroom,2 Garage,4209,,-,1750 feet²,34.78 x 109.58 feet,9,2019-11-30
E4669417,43.75133,-79.27977,44 Cornwallis Dr,Scarborough,Detached,799900,840000,3+1 Bedroom,2 Bathroom,0 Garage,3200,,-,1300 feet²,45 x 150.00 feet,3,2020-01-16
C4674282,43.73382,-79.34679,Unit 1006 - 99 The Donway W Way,North York,Condo Apt,584800,582000,1+1 Bedroom,2 Bathroom,1 Garage,2324,$525/month,0-5,600-699 feet²,,3,2020-01-23
N4682161,43.85809,-79.43375,Unit 707 - 9471 Yonge St,Richmond Hill,Condo Apt,568888,578000,1+1 Bedroom,2 Bathroom,2 Garage,2567,$584/month,-,700-799 feet²,,1,2020-02-03
