Listing,Lat,Lon,Address,City,Type,List_Price,Sold_Price,Bedroom,Bathroom,Garage,Tax,Maintenance,Age,Size,Lot_Size,Days,List_Date
C4622412,43.65936,-79.3824999,Unit 2103 - 386 Yonge St,Toronto,Condo Apt,829000,785000,1+1 Bedroom,2 Bathroom,1 Garage,3748,$575/month,-,700-799 feet²,,101,2019-10-31
C4654597,43.6882525,-79.3981194,Unit 406 - 55 Delisle Ave,Toronto,Condo Apt,1150000,1150000,2 Bedroom,2 Bathroom,1 Garage,4447,$1018/month,31-50,1000-1199 feet²,,13,2019-12-17
E4656072,43.7358325,-79.347512,62 Blenheim Circ,Whitby,Detached,1199000,1165000,4 Bedroom,4 Bathroom,2 Garage,0,,New,3000-3500 feet²,55.45 x 111.55 feet,74,2019-12-20
W4765481,43.73235,-79.75087,2 Moregate Cres,Brampton,Condo Townhouse,505900,503400,3 Bedroom,2 Bathroom,1 Garage,2586,$548/month,-,1200-1399 feet²,,14,2020-05-20
C4740599,43.66578,-79.38554,Unit 3504 - 5 St Joseph St,Toronto,Condo Apt,699000,690819,1+1 Bedroom,1 Bathroom,0 Garage,2805,$415/month,-,600-699 feet²,,23,2020-04-10
W4681099,43.56315,-79.60148,256 Donnelly Dr,Mississauga,Detached,3699000,3195000,5+1 Bedroom,7 Bathroom,2 Garage,19301,,-,3500-5000 feet²,100 x 202.50 feet,63,2020-02-01
E4662820,43.79211,-79.18451,239 Conlins Rd,Scarborough,Detached,1075000,1050000,4+1 Bedroom,3 Bathroom,2 Garage,4002,,-,2750 feet²,49.21 x 177.65 feet,12,2020-01-08
E4734012,43.69125,-79.29278,23 Sibley Ave,Toronto,Semi-Detached,699900,665000,2 Bedroom,1 Bathroom,0 Garage,2521,,-,900 feet²,16 x 80.00 feet,24,2020-03-30
W4691336,43.67587,-79.50686,Unit 703 - 250 Scarlett Rd,Toronto,Condo Apt,749000,745000,3 Bedroom,2 Bathroom,1 Garage,1926,$820/month,-,1000-1199 feet²,,2,2020-02-13
E4759955,43.67709,-79.32287,827 Craven Rd,Toronto,Semi-Detached,778000,763000,2 Bedroom,3 Bathroom,0 Garage,2682,,-,1300 feet²,11.08 x 78.00 feet,9,2020-05-12
W4749313,43.66512,-79.57005,83 Beaver Bend Cres,Etobicoke,Detached,1199000,1159000,3+1 Bedroom,2 Bathroom,1 Garage,4436,,-,1300 feet²,56 x 132.75 feet,12,2020-04-27
E4732193,43.6799,-79.31579,48 Wildwood Cres,Toronto,Detached,949000,1075000,2+1 Bedroom,2 Bathroom,0 Garage,1,,-,1300 feet²,40 x 108.00 feet,4,2020-03-26
E4751582,43.8746994,-79.1252835,2422 Moonlight Cres,Pickering,Detached,1059000,1025000,4 Bedroom,3 Bathroom,2 Garage,7295,,-,2750 feet²,36.09 x 96.00 feet,20,2020-05-01
W4677142,43.58836,-79.78863,7673 Black Walnut Tr,Mississauga,Semi-Detached,779900,825000,3+2 Bedroom,4 Bathroom,1 Garage,3405,,-,1750 feet²,23.92 x 116.53 feet,3,2020-01-26
W4723104,43.58979,-79.61485,Unit 35 - 400 Mississauga Valley Blvd,Mississauga,Condo Townhouse,550000,571111,3 Bedroom,2 Bathroom,1 Garage,2571,$435/month,-,1200-1399 feet²,,22,2020-03-16
E4736022,43.65794,-79.34979,Unit 723 - 90 Broadview St,Toronto,Condo Apt,570000,554000,1+1 Bedroom,1 Bathroom,1 Garage,2433,$425/month,-,600-699 feet²,,6,2020-04-02
W4712973,43.69063,-79.78951,38 Fairbank Crt,Brampton,Detached,769000,745000,4 Bedroom,2 Bathroom,2 Garage,4053,,16-30,1100-1500 feet²,19.04 x 98.59 feet,78,2020-03-06
